,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,GrLivArea_log,LotArea_log,1stFlrSF_log,2ndFlrSf_log,BsmtUnfSF_log,LotFrontage_log,MasVnrArea_log,Has_MiscVal,MiscVal_log,Has_PoolArea,PoolArea_log,Has_3SsnPorch,3SsnPorch_log,Has_LowQualFinSF,LowQualFinSF_log,Has_ScreenPorch,ScreenPorch_log,Has_EnclosedPorch,EnclosedPorch_log,Has_WoodDeckSF,WoodDeckSF_log,Has_OpenPorchSF,OpenPorchSF_log,Has_MasVnrArea,TotalBsmtFinSF,TotalBsmtFinSF_log,SalePrice_log,LandSlope_mapped,ExterQual_mapped,ExterCond_mapped,BsmtQual_mapped,BsmtCond_mapped,BsmtExposure_mapped,LotShape_mapped,HouseAge,RemodAge,GarageAge,TotalYears,HasGarage
10,10,11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500,6.947937068614969,9.32375833901174,6.947937068614969,0.0,4.90527477843843,4.2626798770413155,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,906,6.810142450115136,11.771443882099637,3,3,3,3.0,3.0,1,4,43,43,43.0,43,1
11,11,12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000,7.751475318021456,9.386392315756542,7.075808863978387,7.04141166379481,5.181783550292085,4.454347296253507,5.659482215759621,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.997212273764115,1,3.091042453358316,1,998,6.906754778648554,12.75130259456002,3,5,3,5.0,3.0,1,3,1,0,1.0,0,1
12,12,13,20,RL,71.0,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000,6.816735880594968,9.470317173335742,6.816735880594968,0.0,5.170483995038151,4.276666119016055,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.176149732573829,0,0.0,1,4.948759890378168,0,0.0,0,737,6.6039438246004725,11.87757552297847,3,3,3,3.0,3.0,1,2,46,46,46.0,46,1
13,13,14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500,7.3098814858247865,9.273596821611198,7.3098814858247865,0.0,7.3098814858247865,4.5217885770490405,5.726847747587197,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.081404364984463,1,3.5263605246161616,1,0,0.0,12.540761149388421,3,4,3,4.0,3.0,3,3,1,0,1.0,0,1
14,14,15,20,RL,73.0,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000,7.134093721192866,9.298442820197728,7.134093721192866,0.0,6.255750041753367,4.30406509320417,5.3612921657094255,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.176149732573829,0,0.0,1,5.365976015021851,1,733,6.598509028614515,11.964007453736912,3,3,3,3.0,3.0,1,3,48,48,48.0,48,1
15,15,16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000,6.75110146893676,8.71948076085107,6.75110146893676,0.0,6.725033642166843,3.9512437185814275,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.8918202981106265,1,4.727387818712341,0,0,0.0,11.790564777297387,3,3,3,3.0,3.0,1,4,78,6,16.0,6,1
16,16,17,20,RL,73.0,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000,6.912742820493176,9.32741204356202,6.912742820493176,0.0,6.056784013228625,4.30406509320417,5.198497031265826,1,6.55250788703459,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,578,6.361302477572996,11.91170829631447,3,3,3,3.0,3.0,1,3,40,40,40.0,40,1
17,17,18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,No,,0,,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000,7.167809184316444,9.286560397887591,7.167809184316444,0.0,0.0,4.290459441148391,0.0,1,6.2166061010848646,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,11.407576060361786,3,3,3,,,1,4,39,39,39.0,39,1
18,18,19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000,7.016609683894219,9.524859098381523,7.016609683894219,0.0,6.150602768446279,4.204692619390966,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.634728988229636,0,646,6.472346294500901,11.976665770490767,3,3,3,3.0,3.0,1,4,4,4,4.0,4,1
19,19,20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,7.200424892944957,8.93075873555827,7.200424892944957,0.0,6.26530121273771,4.2626798770413155,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,504,6.22455842927536,11.842236406331555,3,3,3,3.0,3.0,1,4,51,44,51.0,44,1
20,20,21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300,7.773594467360194,9.562123369834488,7.055312843339752,7.105786129481271,7.055312843339752,4.624972813284271,5.942799375126701,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.484796933490655,1,5.043425116919247,1,0,0.0,12.692506186542177,3,4,3,5.0,3.0,3,3,1,0,1.0,0,1
21,21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400,7.011213987350367,8.915969311373605,7.011213987350367,0.0,6.45833828334479,4.060443010546419,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.327876168789581,0,0.0,0,0.0,0,0,0.0,11.845109950883979,3,3,3,3.0,3.0,1,4,77,57,77.0,57,1
22,22,23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000,7.493317248862145,9.184304357425342,7.493317248862145,0.0,7.48324441607385,4.330733340286331,5.641907070938114,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.147494476813453,1,5.075173815233827,1,0,0.0,12.345838935721968,3,4,3,4.0,3.0,1,4,6,6,6.0,6,1
23,23,24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900,6.966967138613983,8.348774539791274,6.966967138613983,0.0,5.303304908059076,3.8066624897703196,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.61512051684126,1,4.709530201312334,0,840,6.734591659972948,11.774527900858468,3,3,3,4.0,3.0,1,4,31,31,31.0,31,1
24,24,25,20,RL,71.0,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000,6.966967138613983,9.017604776833355,6.966967138613983,0.0,5.3230099791384085,4.276666119016055,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.008813185442595,1,4.51085950651685,0,856,6.75343791859778,11.944714374881176,3,3,4,3.0,3.0,2,3,42,9,42.0,9,1
25,25,26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300,7.3783837129967145,9.56317796268366,7.3783837129967145,0.0,7.356918242356021,4.709530201312334,6.46302945692067,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.04305126783455,1,0,0.0,12.454107814022272,3,4,3,4.0,3.0,1,4,2,2,2.0,2,1
26,26,27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800,6.803505257608338,8.881975184248867,6.803505257608338,0.0,5.198497031265826,4.110873864173311,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.407171771460119,1,3.4965075614664802,0,720,6.580639137284949,11.811554895830454,3,3,3,3.0,3.0,2,4,59,10,5.0,10,1
27,27,28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000,7.4413203897176174,9.348274558065496,7.4413203897176174,0.0,6.18826412308259,4.59511985013459,5.303304908059076,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.9318256327243257,1,1218,7.105786129481271,12.631343648903034,3,4,3,5.0,3.0,1,4,3,2,2.0,2,1
28,28,29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500,7.3783837129967145,9.700269170029188,7.3783837129967145,0.0,5.337538079701318,3.871201010907891,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.666426688112432,1,5.556828061699537,0,1277,7.15305163493748,12.242891437918386,3,3,3,3.0,3.0,4,3,49,9,49.0,9,1
